,Details,Nom du fichier,Chemin complet,Fichier caché,Taille (octets),Date de création,Date de modification,Date du dernier accès,Point de montage,Chemin absolue,Propriétaire du fichier,Extension,Type MIME,Extension MIME,Permissions,Privilèges,Hash MD5
0,oui,20231030_201315.jpg,C:/Users/hp/Documents/MSEFC/Pentest\20231030_201315.jpg,False,2278679,2023-12-25 17:43:18.885112,2023-12-25 17:43:19.776413,2024-01-03 16:38:19.772383,False,C:\Users\hp\Documents\MSEFC\Pentest\20231030_201315.jpg,hp,.jpg,"JPEG image data, Exif standard: [TIFF image data, little-endian, direntries=12, height=1848, manufacturer=samsung, model=Galaxy S23, orientation=upper-left, xresolution=212, yresolution=220, resolutionunit=2, software=S911BXXS3AWIF, datetime=2023:10:30 20:13:15, width=4000], baseline, precision 8, 4000x1848, frames 3",.jpg,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\20231030_201315.jpg'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\20231030_201315.jpg AUTORITE NT\\SystŠme:(F)\n                                                        BUILTIN\\Administrateurs:(F)\n                                                        LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\20231030_201315.jpg' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\20231030_201315.jpg\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",F76D10DFE04D2B20BACA9DEDB987DE43
1,oui,DumpIt,C:/Users/hp/Documents/MSEFC/Pentest\DumpIt,False,862320,2023-12-30 20:28:23.158593,2020-12-10 03:31:02.000000,2024-01-03 16:38:20.831549,False,C:\Users\hp\Documents\MSEFC\Pentest\DumpIt,hp,,"ELF 64-bit LSB executable, x86-64, version 1 (GNU/Linux), statically linked, for GNU/Linux 3.2.0, BuildID[sha1]=b0d7a6bd600fe406c5699892feb171baeb93de79, not stripped",.elf,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\DumpIt'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\DumpIt AUTORITE NT\\SystŠme:(F)\n                                           BUILTIN\\Administrateurs:(F)\n                                           LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\DumpIt' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\DumpIt\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",705D4A5995F4DED4E1AD306BEB877B2C
2,,Firefox 121.0.dmg,C:/Users/hp/Documents/MSEFC/Pentest\Firefox 121.0.dmg,False,134568834,2023-12-27 15:11:31.668466,2023-12-27 15:12:01.433459,2024-01-03 16:38:22.173032,False,C:\Users\hp\Documents\MSEFC\Pentest\Firefox 121.0.dmg,hp,.dmg,"bzip2 compressed data, block size = 900k",,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\Firefox 121.0.dmg'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\Firefox 121.0.dmg AUTORITE NT\\SystŠme:(F)\n                                                      BUILTIN\\Administrateurs:(F)\n                                                      LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\Firefox 121.0.dmg' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\Firefox 121.0.dmg\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",BA6C3A6556774810288D163F8E6ECA1F
3,oui,guide.pdf,C:/Users/hp/Documents/MSEFC/Pentest\guide.pdf,False,1451298,2023-11-21 10:22:08.765850,2023-11-21 10:22:09.797841,2024-01-03 16:38:23.252135,False,C:\Users\hp\Documents\MSEFC\Pentest\guide.pdf,hp,.pdf,"PDF document, version 1.6",.pdf,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\guide.pdf'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\guide.pdf AUTORITE NT\\SystŠme:(F)\n                                              BUILTIN\\Administrateurs:(F)\n                                              LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\guide.pdf' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\guide.pdf\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",94896C911B6F59389406A98E75E6466D
4,oui,IMG_2573.jpg,C:/Users/hp/Documents/MSEFC/Pentest\IMG_2573.jpg,False,1942578,2024-01-02 19:02:13.795691,2024-01-02 19:02:14.548441,2024-01-03 16:38:24.343410,False,C:\Users\hp\Documents\MSEFC\Pentest\IMG_2573.jpg,hp,.jpg,"JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=1, orientation=upper-left], baseline, precision 8, 4032x3024, frames 3",.jpg,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_2573.jpg'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\IMG_2573.jpg AUTORITE NT\\SystŠme:(F)\n                                                 BUILTIN\\Administrateurs:(F)\n                                                 LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_2573.jpg' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\IMG_2573.jpg\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",3F9AF7A9B2A2330B734FA001838C306E
5,oui,IMG_6879.jpg,C:/Users/hp/Documents/MSEFC/Pentest\IMG_6879.jpg,False,2321124,2023-12-25 17:49:22.447952,2023-12-25 17:49:23.506226,2024-01-03 16:38:25.390322,False,C:\Users\hp\Documents\MSEFC\Pentest\IMG_6879.jpg,hp,.jpg,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 300x300, segment length 20, Exif Standard: [TIFF image data, big-endian, direntries=13, manufacturer=Apple, model=iPhone 12, orientation=upper-right, xresolution=186, yresolution=194, resolutionunit=2, software=16.6.1, datetime=2023:12:25 09:57:56, hostcomputer=iPhone 12], baseline, precision 8, 4032x3024, frames 3",.jpg,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6879.jpg'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6879.jpg AUTORITE NT\\SystŠme:(F)\n                                                 BUILTIN\\Administrateurs:(F)\n                                                 LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6879.jpg' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\IMG_6879.jpg\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",E07B68DEFC59CC2828C053F87D053D37
6,oui,IMG_6880.jpg,C:/Users/hp/Documents/MSEFC/Pentest\IMG_6880.jpg,False,1705795,2023-12-25 18:20:05.919494,2023-12-25 18:23:46.544315,2024-01-03 16:38:26.449125,False,C:\Users\hp\Documents\MSEFC\Pentest\IMG_6880.jpg,hp,.jpg,"JPEG image data, JFIF standard 1.01, resolution (DPI), density 300x300, segment length 20, Exif Standard: [TIFF image data, big-endian, direntries=14, manufacturer=Apple, model=iPhone 12, orientation=upper-right, xresolution=198, yresolution=206, resolutionunit=2, software=16.6.1, datetime=2023:12:25 19:18:04, hostcomputer=iPhone 12], baseline, precision 8, 4032x3024, frames 3",.jpg,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6880.jpg'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6880.jpg AUTORITE NT\\SystŠme:(F)\n                                                 BUILTIN\\Administrateurs:(F)\n                                                 LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\IMG_6880.jpg' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\IMG_6880.jpg\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",9F5CBE75D5D16147C736CD4E90209ECF
7,,Slides-20231121T104548Z-001.zip,C:/Users/hp/Documents/MSEFC/Pentest\Slides-20231121T104548Z-001.zip,False,2465743,2023-11-21 10:46:01.006426,2023-11-21 10:46:03.234970,2024-01-03 16:38:27.626507,False,C:\Users\hp\Documents\MSEFC\Pentest\Slides-20231121T104548Z-001.zip,hp,.zip,"Zip archive data, at least v2.0 to extract",.zip,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\Slides-20231121T104548Z-001.zip'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\Slides-20231121T104548Z-001.zip AUTORITE NT\\SystŠme:(F)\n                                                                    BUILTIN\\Administrateurs:(F)\n                                                                    LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\Slides-20231121T104548Z-001.zip' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\Slides-20231121T104548Z-001.zip\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",2706ECF6A60E9BF8617E04A69B8287A4
8,,th.webp,C:/Users/hp/Documents/MSEFC/Pentest\th.webp,False,17430,2023-12-25 14:34:28.089334,2023-12-25 14:34:28.734262,2024-01-03 16:38:28.860731,False,C:\Users\hp\Documents\MSEFC\Pentest\th.webp,hp,.webp,"RIFF (little-endian) data, Web/P image",.webp,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\th.webp'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\th.webp AUTORITE NT\\SystŠme:(F)\n                                            BUILTIN\\Administrateurs:(F)\n                                            LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\th.webp' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\th.webp\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",5E00945671AF1C2F515DEFF34008B0DC
9,oui,Z2Dmp.exe,C:/Users/hp/Documents/MSEFC/Pentest\Z2Dmp.exe,False,131400,2023-12-30 20:27:55.756369,2022-12-03 19:50:22.000000,2024-01-03 16:38:29.967100,False,C:\Users\hp\Documents\MSEFC\Pentest\Z2Dmp.exe,hp,.exe,"PE32+ executable (console), for MS Windows",.exe,"CompletedProcess(args=['icacls', 'C:/Users/hp/Documents/MSEFC/Pentest\\Z2Dmp.exe'], returncode=0, stdout='C:/Users/hp/Documents/MSEFC/Pentest\\Z2Dmp.exe AUTORITE NT\\SystŠme:(F)\n                                              BUILTIN\\Administrateurs:(F)\n                                              LAPTOP-TNL6ISE7\\hp:(F)\n\n1 fichiers correctement trait‚sÿ; ‚chec du traitement de 0 fichiers\n', stderr='')","CompletedProcess(args=['powershell', '-Command', ""Get-Acl -Path 'C:/Users/hp/Documents/MSEFC/Pentest\\Z2Dmp.exe' | Format-List""], returncode=0, stdout='\n\nPath   : Microsoft.PowerShell.Core\\FileSystem::C:\\Users\\hp\\Documents\\MSEFC\\Pentest\\Z2Dmp.exe\nOwner  : LAPTOP-TNL6ISE7\\hp\nGroup  : LAPTOP-TNL6ISE7\\Aucun\nAccess : AUTORITE NT\\SystŠme Allow  FullControl\n         BUILTIN\\Administrateurs Allow  FullControl\n         LAPTOP-TNL6ISE7\\hp Allow  FullControl\nAudit  : \nSddl   : O:S-1-5-21-2840698894-2665895100-2824951517-1001G:S-1-5-21-2840698894-2665895100-2824951517-513D:(A;ID;FA;;;SY\n         )(A;ID;FA;;;BA)(A;ID;FA;;;S-1-5-21-2840698894-2665895100-2824951517-1001)\n\n\n\n', stderr='')",AC811EBCB8B8EA05845E0B2AF73D54CE
